Image Generation Started: 2025-11-17T02:18:34.926Z

[2025-11-17T02:18:34.928Z] Connecting to: homemadekahoot.gfbwla5.mongodb.net/homemadekahoot_dev?appName=homemadekahoot
[2025-11-17T02:18:35.124Z] Connected to MongoDB successfully
[2025-11-17T02:18:36.932Z] Found 12897 words that need images
[2025-11-17T02:18:36.936Z] Starting image generation for 12897 words (parallel processing with 5 keys)
[2025-11-17T02:44:24.546Z] Key2 | 2657 / 5200 | Image Added | (executive)
[2025-11-17T02:44:32.925Z] Key6 | 13026 / 15600 | ERROR: Rate limit exceeded (403): Rate limit exceeded or invalid API key. Please check your API key or wait before retrying. | (maim)
[2025-11-17T02:44:41.941Z] Key4 | 7856 / 10400 | ERROR: Failed to fetch image from Unsplash: No images found for the query | (staggering)
[2025-11-17T02:44:43.755Z] Key4 | 7857 / 10400 | Image Added | (startling)
[2025-11-17T02:45:37.278Z] Key1 | 132 / 2600 | Image Added | (even)
[2025-11-17T02:45:37.683Z] Key3 | 5265 / 7800 | Image Added | (petrol station)
[2025-11-17T02:45:38.408Z] Key2 | 2658 / 5200 | Image Added | (existence)
[2025-11-17T02:45:45.458Z] Key5 | 10462 / 12897 | ERROR: Rate limit exceeded (403): Rate limit exceeded or invalid API key. Please check your API key or wait before retrying. | (hoop)
[2025-11-17T02:45:57.155Z] Key4 | 7858 / 10400 | Image Added | (stately)
[2025-11-17T02:46:51.133Z] Key3 | 5266 / 7800 | Image Added | (pilgrim)
[2025-11-17T02:46:51.304Z] Key1 | 133 / 2600 | Image Added | (ever)
[2025-11-17T02:46:52.253Z] Key2 | 2659 / 5200 | Image Added | (expectation)
[2025-11-17T02:47:11.059Z] Key4 | 7859 / 10400 | Image Added | (strapping)
[2025-11-17T02:48:04.537Z] Key3 | 5267 / 7800 | Image Added | (playground)
[2025-11-17T02:48:04.729Z] Key1 | 134 / 2600 | Image Added | (far)
[2025-11-17T02:48:06.126Z] Key2 | 2660 / 5200 | Image Added | (expense)
[2025-11-17T02:48:24.763Z] Key4 | 7860 / 10400 | ERROR: Rate limit exceeded (403): Rate limit exceeded or invalid API key. Please check your API key or wait before retrying. | (stuffy)
[2025-11-17T02:49:18.532Z] Key3 | 5268 / 7800 | Image Added | (plural)
[2025-11-17T02:49:18.927Z] Key1 | 135 / 2600 | Image Added | (here)
[2025-11-17T02:49:19.685Z] Key2 | 2661 / 5200 | Image Added | (exploration)
[2025-11-17T02:49:33.181Z] Key6 | 13027 / 15600 | ERROR: Rate limit exceeded (403): Rate limit exceeded or invalid API key. Please check your API key or wait before retrying. | (mar)
[2025-11-17T02:50:34.923Z] Key1 | 136 / 2600 | Image Added | (how)
[2025-11-17T02:50:35.139Z] Key3 | 5269 / 7800 | Image Added | (police officer)
[2025-11-17T02:50:45.716Z] Key5 | 10463 / 12897 | ERROR: Rate limit exceeded (403): Rate limit exceeded or invalid API key. Please check your API key or wait before retrying. | (hotline)
[2025-11-17T02:50:52.618Z] Key2 | 2662 / 5200 | Image Added | (extent)
[2025-11-17T02:51:48.595Z] Key1 | 137 / 2600 | Image Added | (however)
[2025-11-17T02:51:48.601Z] Key3 | 5270 / 7800 | Image Added | (police station)
[2025-11-17T02:52:06.135Z] Key2 | 2663 / 5200 | Image Added | (facility)
[2025-11-17T02:53:02.604Z] Key3 | 5271 / 7800 | Image Added | (policewoman)
[2025-11-17T02:53:04.054Z] Key1 | 138 / 2600 | Image Added | (just)
[2025-11-17T02:53:21.638Z] Key2 | 2664 / 5200 | Image Added | (failure)
[2025-11-17T02:53:24.993Z] Key4 | 7861 / 10400 | ERROR: Rate limit exceeded (403): Rate limit exceeded or invalid API key. Please check your API key or wait before retrying. | (stylistic)
[2025-11-17T02:54:18.965Z] Key1 | 139 / 2600 | Image Added | (later)
[2025-11-17T02:54:18.970Z] Key3 | 5272 / 7800 | Image Added | (post office)
[2025-11-17T02:54:33.425Z] Key6 | 13028 / 15600 | ERROR: Rate limit exceeded (403): Rate limit exceeded or invalid API key. Please check your API key or wait before retrying. | (mesmerize)
[2025-11-17T02:54:35.274Z] Key2 | 2665 / 5200 | Image Added | (faith)
[2025-11-17T02:55:32.817Z] Key3 | 5273 / 7800 | Image Added | (pro)
[2025-11-17T02:55:32.864Z] Key1 | 140 / 2600 | Image Added | (maybe)
[2025-11-17T02:55:45.984Z] Key5 | 10464 / 12897 | ERROR: Rate limit exceeded (403): Rate limit exceeded or invalid API key. Please check your API key or wait before retrying. | (hourglass)
